Back to Contents;;;;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;;;
;1840;1,8;;1883;-0,5;;1926;-0,8;;1969;5,4;;2012;3,2;;;
;1841;-2,3;;1884;-2,7;;1927;-2,4;;1970;6,4;;2013;3,0;;;
;1842;-7,6;;1885;-3,0;;1928;-0,3;;1971;9,4;;2014;2,4;;;
;;;;;;;;;;;;;;;;;
; Key:     - zero or negligible      ..   not available;;;;;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;;
; Note:;;;;;;;;;;;;;;;;
1; The results in this table do not fall within the scope of National Statistics,;;;;;;;;;;;;;;;;
; due to the limitations of some of the primary sources, particularly;;;;;;;;;;;;;;;;
; pre-1947, used to construct the index.;;;;;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;;
2; Further information and data back to 1750 is available in an article;;;;;;;;;;;;;;;;
; entitled 'Consumer price inflation since 1750' to be found on the National;;;;;;;;;;;;;;;;
; Statistics website: http://www.ons.gov.uk/ons/rel/cpi/consumer-price-indices/1750---2003/composite-consumer-price-index-with-description-and-assessment-of-source-data.pdf;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Source: ;;;;;;;;;;;;;;;;
;Office for National Statistics;;;;;;;;;;;;;;;;
;Prices Division;;;;;;;;;;;;;;;;
;2.001 Cardiff Road;;;;;;;;;;;;;;;;
;Newport;;;;;;;;;;;;;;;;
;South Wales;;;;;;;;;;;;;;;;
;NP10 8XG;;;;;;;;;;;;;;;;
;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;http://www.ons.gov.uk;;;;;;;;;;;;;;;;
