Back to Contents;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 17; CPIH: Detailed goods and services breakdown: Weights 2007 to 2018 1, 2;;;;;;;;;;;;;;;
;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017 
Jan";"2017 
Feb-Dec";"2018
Jan";"2018 
Feb-Dec"
;L5PA; Owner occupiers' housing costs;181;179;176;171;170;169;167;169;170;171;173;174;168;169
;L5O9  ; Primary housing services;38;38;39;39;39;37;36;33;34;33;34;34;33;33
;L5OA  ; Other housing services;5;5;5;4;4;8;7;7;7;8;7;7;7;7
;;;;;;;;;;;;;;;;
;L5OC  ; Travel & transport services;51;52;55;57;55;58;55;59;59;61;64;62;61;60
;L5OD  ; Services for personal transport equipment;24;23;25;26;25;31;29;30;29;29;31;31;29;29
;L5FB  ; Transport services;24;26;27;28;27;24;23;26;26;29;30;28;29;28
;L5GJ  ; Transport insurance;3;3;3;3;3;3;3;3;4;3;3;3;3;3
;;;;;;;;;;;;;;;;
;L5D8  ; Communication;19;18;18;20;20;22;24;25;25;25;21;21;20;20
;;;;;;;;;;;;;;;;
;L5OE  ; Recreational & personal services;165;165;160;159;151;144;152;154;158;162;163;163;159;159
;L5OF  ; Package holidays & accommodation;38;38;36;38;36;33;42;42;44;46;52;52;53;53
;L5OG  ; Other recreational & personal services;127;127;124;121;115;111;110;112;114;116;111;111;106;106
;L5G5  ; Catering services;94;93;89;88;83;79;79;80;81;81;77;77;75;75
;L5OH  ; Non-catering recreational & personal services;33;34;35;33;32;32;31;32;33;35;34;34;31;31
;;;;;;;;;;;;;;;;
;L5P4  ; Miscellaneous & other services;67;67;68;67;67;67;75;60;61;66;63;64;65;65
;L5OI  ; Miscellaneous services;42;41;41;43;41;41;46;32;30;34;35;36;35;35
;L5OB  ; Medical services;11;11;10;9;11;11;12;10;10;12;11;11;12;12
;L5DA  ; Education;14;15;17;15;15;15;17;18;21;20;17;17;18;18
;;;;;;;;;;;;;;;;
; ; Special aggregates;;;;;;;;;;;;;;
;L5OU  ; Durables;92;90;89;91;88;83;78;85;84;85;90;91;95;94
;L5OV  ; Semi-durables;104;106;94;98;100;101;104;105;105;105;108;105;105;102
;L5OW  ; Non-durables;62;61;62;61;62;56;58;55;55;56;55;55;52;53
;L5NS  ; Seasonal food;22;23;25;22;25;23;22;23;23;21;20;20;21;21
;L5OT  ; Non-seasonal food;52;54;59;55;57;55;55;57;55;53;51;51;51;52
;L5OX  ; Energy, food, alcoholic beverages & tobacco;177;179;193;190;198;203;194;192;184;170;166;168;166;169
;L5OY  ; Energy & unprocessed food;98;99;108;110;113;122;111;107;102;91;88;89;88;89
;L5OZ  ; Energy & seasonal food;81;82;89;92;95;104;94;89;85;74;72;73;72;73
;L5DX; Tobacco;20;19;18;18;19;19;19;20;19;19;18;18;18;18
;L5D4; Housing, water, electricity, gas & other fuels;299;296;303;300;302;311;304;299;299;294;293;294;300;301
;L5P2  ; Education, health & social protection 2;43;43;42;41;43;45;48;46;51;55;50;51;53;53
;;;;;;;;;;;;;;;;
; ; All items excluding;;;;;;;;;;;;;;
;L5OL  ; Energy;941;941;936;930;930;919;928;934;938;947;948;947;949;948
;L5DF  ; Energy, food, alcoholic beverages & tobacco;823;821;807;810;802;797;806;808;816;830;834;832;834;831
;L5OP  ; Energy & unprocessed food;902;901;892;890;887;878;889;893;898;909;912;911;912;911
;L5OM  ; Seasonal food;978;977;975;978;975;977;978;977;977;979;980;980;979;979
;L5ON  ; Energy & seasonal food;919;918;911;908;905;896;906;911;915;926;928;927;928;927
;L5P3  ; Tobacco;980;981;982;982;981;981;981;980;981;981;982;982;982;982
;L5OQ  ; Alcoholic beverages & tobacco;966;967;966;967;965;967;965;964;966;966;967;966;967;966
;L5OO  ; Liquid fuels, vehicle fuels & lubricants;971;968;972;966;964;961;966;969;971;974;974;973;975;974
;L5OR  ;Housing, water, electricity, gas and other fuels (Incl OOH);701;704;697;700;698;689;696;701;701;706;707;706;700;699
;CRQX;Owner occupiers' housing costs;819;821;824;829;830;831;833;831;830;829;827;826;832;831
;CRQZ;Council tax and rates;974;974;974;974;973;974;975;975;974;974;974;974;975;975
;CRQY;Owner occupiers' housing costs and council tax and rates;793;795;798;803;803;805;808;806;804;803;801;800;807;806
;L5OS  ; Education, health & social protection;957;957;958;959;957;955;952;954;949;945;950;949;947;947
;;;;;;;;;;;;;;;;
;; Key:     -  zero or negligible     ..  not available;;;;;;;;;;;;;;
;;* Energy includes electricity, gas and other fuels, and fuels and lubricants;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;1; For further information on the composition of the data shown,;;;;;;;;;;;;;;
;; see 'The Consumer Prices Index: Goods and Services Indices;;;;;;;;;;;;;;
;; and Special Aggregates', which can be downloaded from:;;;;;;;;;;;;;;
;; http://www.ons.gov.uk/ons/rel/cpi/cpi-rpi-basket/consumer-prices-index--goods-and-services-indices-and-special-aggregates/index.html;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;2; The coverage of this special aggregate has changed extensively since;;;;;;;;;;;;;;
;; January 2000, when Social protection was first included and extensions to;;;;;;;;;;;;;;
;; the Education and Health divisions also took effect. Health was further;;;;;;;;;;;;;;
;; extended with effect from January 2001. Details are given in a series of;;;;;;;;;;;;;;
;; Economic Trends articles available on the National Statistics website:;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;;Source: ;;;;;;;;;;;;;;
;;Office for National Statistics;;;;;;;;;;;;;;
;;Prices Division;;;;;;;;;;;;;;
;;2.001 Cardiff Road;;;;;;;;;;;;;;
;;Newport;;;;;;;;;;;;;;
;;South Wales;;;;;;;;;;;;;;
;;NP10 8XG;;;;;;;;;;;;;;
;;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;;
