Back to Contents;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Table 3; CPIH: Detailed figures by divisions, groups and classes 1;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; Percentage change;;;Percentage change over 12 months;;;;;;;;
L5D9;L52B;L59L;L55X;;;09    Recreation and culture;;120;;102,4;106,1;;0,1;0,6;;2,8;3,4;3,1;3,4;3,5;2,7;2,4;3,1;3,6
L5DA;L52C;L59M;L55Y;;;10    Education;;18;;107,9;110,9;; -; -;;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8
L5DB;L52D;L59N;L55Z;;;11    Restaurants and hotels;;97;;106,2;108,9;;0,1;0,1;;3,1;3,1;2,4;2,5;2,7;2,6;2,6;2,5;2,5
L5DC;L52E;L59O;L562;;;12    Miscellaneous goods and services ;;77;;103,0;102,3;;0,3;0,6;;0,8;0,8;0,8; -; -; -;-0,2;-1,0;-0,7
;;;;;;;;;;;;;;;;;;;;;;;;
L5DD;L52F;L59P;L563;;;All goods;;418;;101,3;104,1;;0,6;0,8;;3,4;3,2;3,0;2,4;2,6;2,5;2,5;2,6;2,7
L5DE;L52G;L59Q;L564;;;All services;;582;;106,0;108,3;;0,4;0,5;;2,2;2,3;2,1;2,1;1,9;2,1;2,0;2,0;2,2
L5DF;L5KB;L5N5;L5LQ;;;All items CPIH excluding Energy, food, ;;831;;104,5;106,5;;0,5;0,7;;2,3;2,4;2,2;2,1;2,0;2,0;1,8;1,8;1,9
;;;;;;alcoholic beverages and tobacco; ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
L5DG;L52H;L59R;L565;;;01.1 Food;;73;;99,6;101,7;;0,1;0,2;;4,2;4,0;3,3;3,0;2,4;2,0;1,7;1,9;2,0
L5DH;L52I;L59S;L566;;;01.1.1 Bread and cereals;;12;;101,3;102,1;;0,7;-0,2;;4,2;4,2;2,7;1,9;1,0;1,5;1,1;1,6;0,8
L5DI;L52J;L59T;L567;;;01.1.2 Meat;;16;;97,0;98,4;;-0,1;-0,2;;4,2;3,0;2,6;3,2;2,1;1,7;0,8;1,5;1,4
L5DJ;L52K;L59U;L568;;;01.1.3 Fish;;3;;107,6;111,0;;1,7;1,7;;9,1;8,9;5,4;4,0;5,8;5,2;2,9;3,2;3,2
L5DK;L52L;L59V;L569;;;01.1.4 Milk, cheese and eggs;;9;;98,5;101,1;;-0,3;-0,3;;4,7;3,9;6,1;4,6;3,7;2,7;2,2;2,7;2,7
L5DL;L52M;L59W;L56A;;;01.1.5 Oils and fats;;2;;107,7;107,8;;4,4;-6,5;;11,1;7,0;5,0;9,0;14,1;6,1;5,6;11,8;0,1
L5DM;L52N;L59X;L56B;;;01.1.6 Fruit;;8;;101,0;103,5;;-0,3;-0,2;;3,5;7,2;6,1;3,4;2,2;2,6;1,9;2,3;2,5
L5DN;L52O;L59Y;L56C;;;01.1.7 Vegetables including potatoes and tubers;;10;;96,9;99,9;;-0,4;1,4;;2,8;3,2;0,7;0,9; -;1,9;1,8;1,2;3,0
L5DO;L52P;L59Z;L56D;;;01.1.8 Sugar, jam, syrups, chocolate and confectionery;;11;;100,3;103,3;;0,5;2,1;;3,2;1,7;2,8;3,1;2,7;0,8;2,2;1,3;3,0
L5DP;L52Q;L5A2;L56E;;;01.1.9 Food products (nec);;2;;99,6;101,2;;-4,2;-0,7;;-1,1;3,1;-1,0;1,0;1,6;-0,6;1,5;-2,0;1,6
;;;;;;;;;;;;;;;;;;;;;;;;
L5DQ;L52R;L5A3;L56F;;;01.2 Non-alcoholic beverages;;10;;98,2;103,2;;-0,3;-0,4;;3,4;1,7;0,8;3,9;5,4;4,5;4,2;5,2;5,1
L5DR;L52S;L5A4;L56G;;;01.2.1 Coffee, tea and cocoa;;3;;106,6;106,6;;-0,2;-0,7;;9,5;7,5;2,7;4,3;3,2;3,9;2,1;0,6; -
L5DS;L52T;L5A5;L56H;;;01.2.2 Mineral waters, soft drinks and juices;;7;;95,1;102,0;;-0,4;-0,3;;0,8;-0,7; -;3,7;6,2;4,7;5,0;7,2;7,3
;;;;;;;;;;;;;;;;;;;;;;;;
L5DT;L52U;L5A6;L56I;;;02.1 Alcoholic beverages;;16;;100,5;100,9;;0,4;1,7;;2,7;2,2;3,2;0,7;1,4;0,3;0,3;-0,9;0,4
L5DU;L52V;L5A7;L56J;;;02.1.1 Spirits;;5;;100,7;99,0;;2,3;1,3;;1,5;0,4;5,0;-2,4;-1,4;-1,3;0,2;-0,7;-1,7
L5DV;L52W;L5A8;L56K;;;02.1.2 Wine;;7;;98,1;99,0;;-0,9;2,0;;3,0;1,8;2,3;3,4;2,5;1,1;1,1;-2,0;0,9
L5DW;L52X;L5A9;L56L;;;02.1.3 Beer;;4;;104,5;106,9;;0,2;1,6;;3,8;5,1;2,9;0,2;3,0;1,0;-1,0;0,9;2,3
;;;;;;;;;;;;;;;;;;;;;;;;
L5DX;L5KR;L5AA;L56M;;;02.2 Tobacco;;18;;111,2;119,2;;-0,1;-0,2;;8,0;8,3;7,8;5,8;6,1;7,2;7,3;7,3;7,2
;;;;;;;;;;;;;;;;;;;;;;;;
L5DY;L52Z;L5AB;L56N;;;03.1 Clothing;;47;;101,8;102,1;;2,4;3,2;;3,4;4,0;4,1;2,6;1,7;1,3;0,1;-0,5;0,3
L5DZ;L532;L5AC;L56O;;;03.1.2 Garments;;42;;102,0;102,1;;2,7;3,5;;3,7;4,2;4,1;2,7;1,7;1,4;0,1;-0,7;0,1
L5E2;L533;L5AD;L56P;;;03.1.3 Other clothing and clothing accessories;;4;;98,2;100,4;;-0,4;1,5;;0,1;2,7;3,9;1,7;0,5;-0,7;-0,9;0,4;2,3
L5E3;L534;L5AE;L56Q;;;03.1.4 Cleaning, repair and hire of clothing;;1;;105,0;107,7;;0,1;-0,1;;2,3;2,0;2,1;2,3;2,3;2,4;2,5;2,7;2,5
;;;;;;;;;;;;;;;;;;;;;;;;
L5E4;L535;L5AF;L56R;;;03.2 Footwear including repairs;;10;;99,5;99,3;;2,1;2,4;;1,2;0,2;2,8;1,8;1,7;2,1;1,1;-0,4;-0,2
;;;;;;;;;;;;;;;;;;;;;;;;
L5E5;L536;L5AG;L56S;;;04.1 Actual rentals for housing;;69;;102,8;103,3;;0,1;0,1;;0,6;0,3;0,3;0,3;0,4;0,4;0,4;0,5;0,5
;;;;;;;;;;;;;;;;;;;;;;;;
L5PA;L5P5;L5P8;L5P7;;; 04.2 Owner occupiers' housing costs;;169;;104,6;105,7;;0,2;0,2;;1,3;1,2;1,2;1,2;1,2;1,1;1,1;1,1;1,0
;;;;;;;;;;;;;;;;;;;;;;;;
L5E6;L537;L5AH;L56T;;;04.3 Regular maintenance and repair of the dwelling;;2;;99,2;100,8;;-0,3;0,2;;-0,4;-0,4;0,3;0,5;1,2;1,1;1,9;1,1;1,6
L5E7;L538;L5AI;L56U;;;04.3.1 Materials for maintenance and repair;;1;;96,9;99,2;;-0,7;0,4;;-1,6;-1,5;-0,1;0,2;1,5;1,0;2,7;1,3;2,4
L5E8;L539;L5AJ;L56V;;;04.3.2 Services for maintenance and repair;;1;;101,5;102,4;;0,1; -;;0,8;0,7;0,7;0,8;0,9;1,0;1,0;1,0;0,8
;;;;;;;;;;;;;;;;;;;;;;;;
L5E9;L53A;L5AK;L56W;;;04.4 Water supply and misc. services for the dwelling;;9;;103,0;105,7;; -; -;;1,8;1,8;1,8;1,8;2,7;2,7;2,7;2,7;2,7
L5EA;L53B;L5AL;L56X;;;04.4.1 Water supply;;4;;101,8;104,1;; -; -;;1,4;1,4;1,4;1,4;2,2;2,2;2,2;2,2;2,2
L5EB;L53C;L5AM;L56Y;;;04.4.3 Sewerage collection;;5;;104,1;107,3;; -; -;;2,1;2,1;2,1;2,1;3,1;3,1;3,1;3,1;3,1
;;;;;;;;;;;;;;;;;;;;;;;;
L5EC;L53D;L5AN;L56Z;;;04.5 Electricity, gas and other fuels;;27;;101,9;108,6;;0,1;0,1;;6,2;6,3;6,3;6,2;5,8;3,9;6,2;6,7;6,6
L5ED;L53E;L5AO;L572;;;04.5.1 Electricity;;13;;108,7;116,7;; -; -;;11,4;11,4;11,4;10,4;8,6;4,5;6,8;7,4;7,4
L5EE;L53F;L5AP;L573;;;04.5.2 Gas;;12;;93,3;97,3;; -; -;;0,1;0,6;0,6;0,6;1,6;1,1;3,7;4,3;4,3
L5EF;L53G;L5AQ;L574;;;04.5.3 Liquid fuels;;1;;104,3;137,2;;4,5;1,2;;16,5;11,3;11,1;23,0;23,3;37,1;38,3;35,9;31,5
L5EG;L53H;L5AR;L575;;;04.5.4 Solid fuels;;1;;100,8;102,4;; -;0,2;;2,5;2,6;2,1;2,3;2,1;0,7;0,8;1,4;1,6
;;;;;;;;;;;;;;;;;;;;;;;;
DHZC;DHYR;DHYX;DHYU;;;04.9 Council tax and rates ;;25;;107,0;112,2;; -; -;;3,8;3,8;3,8;3,8;4,9;4,9;4,9;4,9;4,9
;;;;;;;;;;;;;;;;;;;;;;;;
L5EH;L53I;L5AS;L576;;;05.1 Furniture, furnishings and carpets;;18;;106,0;105,3;;3,3;3,5;;3,3;3,5;3,9;1,5;2,4;0,1;0,1;-0,9;-0,7
L5EI;L53J;L5AT;L577;;;05.1.1 Furniture and furnishings;;14;;106,0;105,1;;4,0;4,3;;3,6;3,7;4,4;1,7;2,5;-0,1; -;-1,2;-0,9
L5EJ;L53K;L5AU;L578;;;05.1.2 Carpets and other floor coverings;;4;;105,5;105,9;;-0,1;0,7;;1,6;1,6;1,3;0,5;2,2;0,6;0,5;-0,4;0,5
;;;;;;;;;;;;;;;;;;;;;;;;
L5EK;L53L;L5AV;L579;;;05.2 Household textiles;;5;;99,7;99,4;;2,5;0,7;;0,8;1,3;2,7;1,0;2,0;-0,4;0,5;1,5;-0,2
;;;;;;;;;;;;;;;;;;;;;;;;
L5EL;L53M;L5AW;L57A;;;05.3 Household appliances, fitting and repairs ;;7;;105,4;110,4;;1,1;0,2;;5,4;5,8;7,1;7,3;4,3;8,5;7,1;5,8;4,8
L5EM;L53N;L5AX;L57B;;;05.3.1/2 Major appliances and small electric goods;;6;;105,8;111,6;;1,3;0,2;;6,1;6,6;8,1;8,4;4,8;9,8;8,1;6,6;5,4
L5EN;L53O;L5AY;L57C;;;05.3.3 Repair of household appliances;;1;;102,8;103,8;; -; -;;0,8;0,9;0,9;0,8;0,9;1,0;1,0;0,9;0,9
;;;;;;;;;;;;;;;;;;;;;;;;
L5EO;L53P;L5AZ;L57D;;;05.4 Glassware, tableware and household utensils;;4;;100,1;99,7;;1,8;0,6;;2,8;2,5;0,1;-0,2;2,0;0,1;-0,3;0,9;-0,4
;;;;;;;;;;;;;;;;;;;;;;;;
L5EP;L53Q;L5B2;L57E;;;05.5 Tools and equipment for house and garden;;4;;102,0;106,8;;0,5;-0,5;;5,2;5,0;5,1;6,4;7,5;6,7;7,7;5,7;4,7
;;;;;;;;;;;;;;;;;;;;;;;;
L5EQ;L53R;L5B3;L57F;;;05.6 Goods and services for routine maintenance;;10;;102,4;102,2;;-0,3;-1,0;;2,7;1,5;1,1;1,8;1,0;2,3;1,6;0,6;-0,2
L5ER;L53S;L5B4;L57G;;;05.6.1 Non-durable household goods;;4;;96,0;91,6;;-1,2;-2,9;;2,2;-0,7;-1,6;0,2;-1,7;1,5;-0,4;-2,9;-4,6
L5ES;L53T;L5B5;L57H;;;05.6.2 Domestic services and household services;;6;;106,4;109,3;;0,3;0,2;;3,0;3,0;2,9;2,8;2,8;2,8;3,0;2,9;2,7
;;;;;;;;;;;;;;;;;;;;;;;;
L5ET;L53U;L5B6;L57I;;;06.1 Medical products, appliances and equipment;;9;;103,1;104,5;;-0,1;0,4;;1,6;2,1;1,6;1,6;1,8;1,1;1,1;0,9;1,4
L5EU;L53V;L5B7;L57J;;;06.1.1 Pharmaceutical products;;5;;104,5;106,7;; -;0,7;;2,4;3,1;2,5;2,7;3,0;1,9;2,0;1,4;2,1
L5EV;L53W;L5B8;L57K;;;06.1.2/3 Other medical and therapeutic equipment;;4;;101,0;101,4;;-0,2;0,1;;0,4;0,7;0,3;0,1;0,1;-0,1;-0,2;0,2;0,5
;;;;;;;;;;;;;;;;;;;;;;;;
L5EW;L53X;L5B9;L57L;;;06.2 Out-patient services;;7;;104,5;107,2;;0,3;0,2;;2,3;2,3;2,3;2,5;2,7;2,5;2,7;2,7;2,6
L5EX;L53Y;L5BA;L57M;;;06.2.1/3 Medical services & paramedical services;;4;;102,5;104,2;;0,3;0,2;;1,3;1,3;1,3;1,6;1,9;1,6;1,8;1,8;1,6
L5EY;L53Z;L5BB;L57N;;;06.2.2 Dental services;;3;;107,7;111,9;;0,1;0,2;;3,8;3,7;3,7;3,8;3,8;3,6;3,8;3,9;3,9
;;;;;;;;;;;;;;;;;;;;;;;;
L5EZ;L542;L5BC;L57O;;;06.3 Hospital services;;5;;109,8;114,3;; -;0,1;;6,5;4,9;4,9;4,8;4,5;4,6;4,5;4,1;4,1
;;;;;;;;;;;;;;;;;;;;;;;;
L5F2;L543;L5BD;L57P;;;07.1 Purchase of vehicles;;38;;99,0;103,1;;-0,3; -;;2,7;2,1;1,6;2,4;2,9;3,6;4,5;3,8;4,1
L5F3;L544;L5BE;L57Q;;;07.1.1A New cars;;22;;103,8;108,8;;-0,3;0,2;;3,9;3,4;2,9;3,6;4,2;4,8;5,6;4,3;4,8
L5F4;L545;L5BF;L57R;;;07.1.1B Second-hand cars;;14;;91,5;94,4;;-0,2;-0,2;;0,5;-0,2;-0,5;0,7;1,0;2,2;3,1;3,2;3,2
L5F5;L546;L5BG;L57S;;;07.1.2/3 Motorcycles and bicycles;;2;;101,1;103,8;;-0,2;-0,1;;5,5;5,2;2,3;0,9;2,7;0,9;2,2;2,5;2,7
;;;;;;;;;;;;;;;;;;;;;;;;
L5F6;L547;L5BH;L57T;;;07.2 Operation of personal transport equipment ;;58;;105,2;113,0;;0,8;0,6;;4,2;3,4;3,0;2,9;3,5;5,7;7,1;7,6;7,4
L5F7;L548;L5BI;L57U;;;07.2.1 Spare parts and accessories;;4;;104,6;106,3;;1,1;0,3;;2,7;3,1;3,0;3,5;2,7;2,6;2,2;2,4;1,6
L5F8;L549;L5BJ;L57V;;;07.2.2 Fuels and lubricants;;25;;103,7;115,8;;1,6;1,0;;4,7;2,1;0,8;0,3;3,1;8,0;11,6;12,4;11,7
L5F9;L54A;L5BK;L57W;;;07.2.3 Maintenance and repairs;;19;;104,5;108,1;;0,2;0,2;;2,6;3,5;3,8;3,8;3,1;3,4;3,0;3,4;3,5
L5FA;L54B;L5BL;L57X;;;07.2.4 Other services;;10;;110,4;118,3;; -;0,4;;6,3;6,3;6,9;7,3;5,6;6,1;6,4;6,7;7,2
;;;;;;;;;;;;;;;;;;;;;;;;
L5FB;L54C;L5BM;L57Y;;;07.3 Transport services;;28;;118,4;124,9;;2,9;4,3;;3,9;4,7;3,4;3,4;-0,9;3,5;2,8;4,0;5,5
L5FC;L54D;L5BN;L57Z;;;07.3.1 Passenger transport by railway;;11;;102,7;106,8;;-0,8;-1,3;;1,8;2,9;3,1;3,1;1,0;1,8;2,5;4,4;4,0
L5FD;L54E;L5BO;L582;;;07.3.2 Passenger transport by road;;10;;112,8;117,7;;0,3;0,6;;6,6;4,7;4,4;2,8;3,2;2,4;3,3;4,0;4,3
L5FE;L54F;L5BP;L583;;;07.3.3 Passenger transport by air;;4;;129,3;137,8;;10,9;13,5;;3,5;8,1;7,5;9,5;-7,9;8,2;2,2;4,2;6,6
L5FF;L54G;L5BQ;L584;;;07.3.4 Passenger transport by sea and inland waterway;;3;;129,3;147,2;;7,8;17,2;;-0,3;6,9;-2,8;-2,1;-9,0;7,5;4,7;4,7;13,9
;;;;;;;;;;;;;;;;;;;;;;;;
L5FG;L54H;L5BR;L585;;;08.1 Postal services;;1;;103,7;106,6;; -; -;;2,1;2,1;2,1;2,1;2,8;2,8;2,8;2,8;2,8
;;;;;;;;;;;;;;;;;;;;;;;;
L5FH;L54I;L5BS;L586;;;08.2/3 Telephone and telefax equipment and services;;19;;106,1;106,3;;1,7;0,4;;1,0;1,2;-0,4;-0,5;0,9;0,6;0,6;1,6;0,2
;;;;;;;;;;;;;;;;;;;;;;;;
L5FI;L54J;L5BT;L587;;;09.1 Audio-visual equipment and related products;;14;;97,7;93,7;;1,2; -;;-0,7;-0,1;-1,9;-1,0;-1,3;-1,9;-3,1;-3,0;-4,1
L5FJ;L54K;L5BU;L588;;;09.1.1 Reception and reproduction of sound and pictures;;4;;103,0;94,6;;-0,3;-0,3;;3,5;2,0;-2,5;-2,9;-2,7;-6,2;-6,4;-8,2;-8,2
L5FK;L54L;L5BV;L589;;;09.1.2 Photographic, cinematographic and optical equipment;;1;;97,3;94,5;;2,8;1,9;;2,5;-2,9;-5,5;-5,2;-2,5;-3,7;-4,5;-2,0;-2,8
L5FL;L54M;L5BW;L58A;;;09.1.3 Data processing equipment;;5;;91,4;84,5;;3,6;1,9;;-4,0;-4,1;-6,1;-4,4;-4,5;-4,6;-5,5;-6,0;-7,6
L5FM;L54N;L5BX;L58B;;;09.1.4 Recording media;;3;;104,0;106,9;;-1,0;-3,1;;-0,9;3,0;4,3;6,0;3,9;6,0;3,7;5,0;2,8
L5FN;L54O;L5BY;L58C;;;09.1.5 Repair of audio-visual equipment & related products;;1;;102,0;104,4;;-0,1;-0,1;;1,3;1,6;1,7;1,9;2,2;2,3;2,3;2,3;2,4
;;;;;;;;;;;;;;;;;;;;;;;;
L5FO;L54P;L5BZ;L58D;;;09.2 Oth. major durables for recreation & culture;;14;;105,1;110,4;; -; -;;6,6;5,3;5,2;5,2;4,0;3,9;4,0;5,1;5,1
L5FP;L54Q;L5C2;L58E;;;09.2.1/2 Major durables for in/outdoor recreation;;14;;105,1;110,4;; -; -;;6,6;5,3;5,2;5,2;4,0;3,9;4,0;5,1;5,1
;;;;;;;;;;;;;;;;;;;;;;;;
L5FQ;L54R;L5C3;L58F;;;09.3 Other recreational items, gardens and pets;;29;;97,4;101,0;;-0,9;-0,1;;1,6;2,1;1,9;2,0;3,3;1,3;-0,4;2,8;3,6
L5FR;L54S;L5C4;L58G;;;09.3.1 Games, toys and hobbies;;17;;94,6;99,4;;-1,6;-0,1;;1,9;1,9;2,0;2,1;4,5;0,8;-2,1;3,5;5,1
L5FS;L54T;L5C5;L58H;;;09.3.2 Equipment for sport and open-air recreation;;2;;97,6;101,1;;-0,3;1,1;;-0,3;0,5;2,5;0,6;0,5;1,9;1,0;2,1;3,6
L5FT;L54U;L5C6;L58I;;;09.3.3 Gardens, plants and flowers;;3;;99,4;101,5;;-0,7;-1,3;;2,2;2,8;2,4;3,1;3,2;1,7;3,7;2,7;2,1
L5FU;L54V;L5C7;L58J;;;09.3.4/5 Pets, related products and services;;7;;103,0;104,6;;0,1;-0,1;;1,3;2,5;1,6;1,6;1,9;1,8;1,9;1,7;1,5
;;;;;;;;;;;;;;;;;;;;;;;;
L5FV;L54W;L5C8;L58K;;;09.4 Recreational and cultural services;;23;;107,0;112,3;;0,7;2,1;;1,1;2,8;2,8;3,7;3,8;3,2;3,9;3,6;5,0
L5FW;L54X;L5C9;L58L;;;09.4.1 Recreational and sporting services;;7;;108,1;111,3;;0,3;0,4;;1,2;2,6;2,8;2,6;3,1;3,1;3,1;2,9;3,0
L5FX;L54Y;L5CA;L58M;;;09.4.2 Cultural services;;16;;106,6;112,8;;0,9;2,9;;1,1;3,0;2,8;4,1;4,1;3,2;4,2;3,9;5,9
;;;;;;;;;;;;;;;;;;;;;;;;
L5FY;L54Z;L5CB;L58N;;;09.5 Books, newspapers and stationery;;9;;107,3;112,4;;-2,3;-1,4;;5,4;7,2;6,3;4,8;7,3;6,4;6,3;3,8;4,7
L5FZ;L552;L5CC;L58O;;;09.5.1 Books;;3;;106,0;113,3;;-6,3;-3,5;;6,0;13,2;10,6;6,8;11,2;11,4;9,7;3,6;6,8
L5G2;L553;L5CD;L58P;;;09.5.2 Newspapers and periodicals;;3;;110,1;116,3;;0,4;0,8;;5,9;4,9;5,4;5,0;7,8;5,4;6,1;5,2;5,6
L5G3;L554;L5CE;L58Q;;;09.5.3/4 Misc. printed matter, stationery, drawing materials;;3;;105,9;107,5;;-0,7;-1,6;;3,9;3,4;3,0;2,3;2,8;2,3;2,8;2,5;1,5
;;;;;;;;;;;;;;;;;;;;;;;;
L5G4;L555;L5CF;L58R;;;09.6 Package holidays;;31;;103,0;108,6;;0,9;1,2;;5,1;4,9;5,1;5,6;4,7;4,6;4,9;5,1;5,4
;;;;;;;;;;;;;;;;;;;;;;;;
L5DA;L52C;L59M;L55Y;;;10.0 Education;;18;;107,9;110,9;; -; -;;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8
;;;;;;;;;;;;;;;;;;;;;;;;
L5G5;L556;L5CG;L58S;;;11.1 Catering services;;75;;105,3;108,4;;0,1;0,2;;3,0;3,0;2,9;2,7;2,8;2,8;2,9;2,8;2,9
L5G6;L557;L5CH;L58T;;;11.1.1 Restaurants & cafes;;69;;105,6;108,6;;0,2;0,2;;3,2;3,2;3,0;2,8;2,9;2,8;2,9;2,8;2,9
L5G7;L558;L5CI;L58U;;;11.1.2 Canteens;;6;;102,6;106,1;;-0,2;-0,2;;1,6;1,9;1,5;1,8;2,1;2,4;3,0;3,4;3,4
;;;;;;;;;;;;;;;;;;;;;;;;
L5G8;L559;L5CJ;L58V;;;11.2 Accommodation services;;22;;109,5;111,0;;-0,2;-0,2;;3,2;3,2;0,9;2,0;2,5;1,8;1,7;1,5;1,4
;;;;;;;;;;;;;;;;;;;;;;;;
L5G9;L55A;L5CK;L58W;;;12.1 Personal care;;25;;99,1;99,1;;-0,2;0,4;;-0,7;-1,1;-0,4;-1,6;-1,3;-1,1;-0,5;-0,7; -
L5GA;L55B;L5CL;L58X;;;12.1.1 Hairdressing and personal grooming establishments;;6;;104,8;107,3;; -;0,2;;2,1;1,9;1,8;2,1;2,0;1,8;1,9;2,2;2,4
L5GB;L55C;L5CM;L58Y;;;12.1.2/3 Appliances and products for personal care;;19;;97,3;96,6;;-0,3;0,5;;-1,6;-2,1;-1,1;-2,8;-2,4;-2,0;-1,3;-1,5;-0,8
;;;;;;;;;;;;;;;;;;;;;;;;
L5GC;L55D;L5CN;L58Z;;;12.3 Personal effects (nec);;12;;103,9;103,9;;2,1;2,4;;3,7;3,0;2,3;0,7;1,2;1,2; -;-0,3; -
L5GD;L55E;L5CO;L592;;;12.3.1 Jewellery, clocks and watches;;8;;106,9;107,9;;1,2;1,6;;4,9;4,3;4,0;2,6;2,4;1,4;1,3;0,5;1,0
L5GE;L55F;L5CP;L593;;;12.3.2 Other personal effects;;4;;100,1;98,1;;3,8;3,9;;1,5;0,6;-1,0;-2,9;-1,0;0,6;-2,2;-2,0;-1,9
;;;;;;;;;;;;;;;;;;;;;;;;
L5GF;L55G;L5CQ;L594;;;12.4 Social protection;;14;;108,2;111,8;;0,2;0,2;;4,0;4,0;3,8;3,6;3,5;3,3;3,3;3,3;3,3
;;;;;;;;;;;;;;;;;;;;;;;;
L5GG;L55H;L5CR;L595;;;12.5 Insurance;;7;;118,0;116,0;;0,6;0,5;;6,3;7,2;6,0;4,6;3,6;2,0;0,5;-1,6;-1,7
L5GH;L55I;L5CS;L596;;;12.5.2 House contents insurance;;2;;105,8;108,6;;1,3;1,1;;5,1;7,1;7,5;8,0;8,7;6,1;4,1;2,8;2,6
L5GI;L55J;L5CT;L597;;;12.5.3 Health insurance;;2;;113,7;117,0;; -; -;;5,4;5,1;5,1;5,1;4,7;4,7;4,7;2,9;2,9
L5GJ;L55K;L5CU;L598;;;12.5.4 Transport insurance;;3;;128,0;118,4;;0,6;0,5;;7,6;8,7;5,7;2,1;-0,4;-2,5;-4,8;-7,4;-7,5
;;;;;;;;;;;;;;;;;;;;;;;;
L5GK;L55L;L5CV;L599;;;12.6 Financial services (nec);;9;;98,6;92,4;; -;-0,1;;-2,3;-2,9;-2,8;-3,0;-2,8;-2,6;-2,6;-6,3;-6,3
L5GL;L55M;L5CW;L59A;;;12.6.2 Other financial services (nec);;9;;98,6;92,4;; -;-0,1;;-2,3;-2,9;-2,8;-3,0;-2,8;-2,6;-2,6;-6,3;-6,3
;;;;;;;;;;;;;;;;;;;;;;;;
L5GM;L55N;L5CX;L59B;;;12.7 Other services (nec);;10;;99,7;97,0;;-0,2; -;;-3,2;-1,7;-1,9;-1,9;-2,0;-2,1;-2,2;-2,9;-2,7
;;;;;;;;;;;;;;;;;;;;;;;;
;Key:    - zero or negligible .. not available (nec) not elsewhere covered;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
1;From the release of January consumer price inflation data on 16 February 2016, CPIH and CPI indices have been re-referenced and published with 2015=100.;;;;;;;;;;;;;;;;;;;;;;;
;Full historic series for each of the re-referenced indices are available for users to view or download.;;;;;;;;;;;;;;;;;;;;;;;
;Regular re-referencing of indices is methodological good practice as it avoids rounding issues that can arise from small index values. ;;;;;;;;;;;;;;;;;;;;;;;
;Please note that re-referencing does not impact on published inflation rates, although when using the indices to calculate inflation rates, ;;;;;;;;;;;;;;;;;;;;;;;
