Back to Contents;;;;;;;;;;;;;;;;
;;2004;152,0;233,6;230,9;121,3;;152,0;;261,6;144,0;254,8;257,0;;226,5;
;;2005;153,8;239,8;253,6;118,7;;152,6;;270,5;153,1;265,9;262,8;;235,4;
;;2006;157,1;247,1;268,7;118,1;;154,4;;278,4;171,6;276,9;268,6;;247,1;
;;2007;164,3;256,2;275,4;118,0;;157,3;;287,7;178,4;288,4;282,0;;257,7;
;;2008;179,5;266,7;321,5;116,7;;163,1;;298,2;193,4;301,2;298,1;;271,7;
;;2009;189,1;276,7;293,1;117,7;;165,6;;304,2;204,3;310,0;315,9;;282,9;
;;2010;195,0;289,9;343,2;122,9;;174,4;;308,5;204,5;320,8;346,9;;294,8;
;;2011;206,6;311,3;395,7;128,0;;185,5;;316,2;217,5;333,5;374,2;;310,4;
;;2012;213,3;327,1;403,6;131,7;;191,6;;326,7;231,5;342,0;388,6;;322,5;
;;2013;221,2;341,9;399,9;135,2;;197,0;;335,2;244,8;350,7;404,0;;334,1;
;;2014;221,3;354,9;379,3;139,1;;200,0;;343,9;253,5;358,8;416,6;;343,6;
;;2015;216,2;362,7;325,9;141,0;;198,2;;354,2;252,0;366,5;432,3;;351,2;
;;2016;211,5;369,8;316,4;142,6;;198,5;;361,2;251,2;375,7;454,1;;360,3;
;;2017;216,4;383,5;345,7;148,3;;206,5;;365,7;257,4;385,6;482,8;;372,6;
;;;;;;;;;;;;;;;;
; Monthly (January 1987=100);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Aug 2016;211,0;371,7;318,1;141,5;;198,0;;361,7;251,4;377,3;470,7;;364,9;
;;Sep ;210,6;372,7;324,7;143,3;;199,5;;362,1;251,4;378,3;460,1;;362,7;
;;Oct;209,9;373,0;329,9;143,5;;199,8;;362,5;251,4;378,8;457,7;;362,4;
;;Nov ;210,8;372,4;340,6;144,5;;201,2;;363,0;251,6;379,6;454,8;;362,1;
;;Dec ;212,1;371,5;336,9;144,9;;201,5;;363,5;251,5;380,2;472,8;;366,6;
;;Jan ;212,3;375,7;348,5;142,6;;201,0;;364,8;251,2;379,7;454,9;;362,4;
;;Feb ;214,7;376,0;354,0;146,3;;204,4;;365,1;252,5;380,8;461,9;;364,8;
;;Mar ;215,2;380,5;352,3;147,7;;205,9;;365,3;253,1;381,4;462,1;;365,2;
;;Apr ;215,6;382,1;344,6;147,4;;205,5;;364,9;254,4;384,1;475,6;;369,4;
;;May ;216,0;384,4;338,9;148,5;;206,3;;365,2;257,7;385,0;474,9;;370,5;
;;Jun ;215,6;384,4;339,0;148,3;;206,1;;365,5;258,0;385,7;484,0;;373,0;
;;Jul ;215,7;385,3;332,8;146,9;;204,9;;365,8;259,1;386,4;497,2;;376,7;
;;Aug 2017;215,5;385,5;338,9;148,5;;206,3;;366,1;260,2;387,3;506,8;;379,6;
;;Sep ;217,4;386,6;346,5;150,3;;208,4;;366,4;259,9;388,5;490,9;;376,2;
;;Oct;218,5;387,0;345,5;150,3;;208,7;;366,2;261,2;388,8;489,3;;376,2;
;;Nov ;219,3;386,6;351,9;151,1;;209,7;;366,5;261,3;389,5;487,1;;376,0;
;;Dec ;220,6;388,1;355,8;151,4;;210,5;;366,7;260,0;390,3;509,0;;381,0;
;;Jan;219,8;392,6;357,6;148,9;;209,2;;367,1;260,6;390,5;489,0;;376,6;
;;Feb ;220,0;393,1;360,5;152,5;;212,0;;367,4;260,1;391,5;493,4;;377,9;
;;Mar ;221,1;392,7;354,4;153,1;;212,4;;367,7;260,5;392,3;492,4;;378,0;
;;Apr ;221,1;395,6;358,3;153,1;;212,8;;367,3;262,7;395,3;495,1;;380,2;
;;May;220,7;398,1;369,5;153,6;;213,8;;367,6;263,2;396,0;499,2;;381,6;
;;Jun ;220,0;398,2;381,6;153,2;;214,0;;367,9;266,3;396,9;503,8;;383,8;
;;Jul ;220,6;397,8;377,5;150,9;;212,2;;368,8;269,2;397,4;515,4;;387,7;
;;Aug 2018;220,7;399,1;381,1;152,8;;213,9;;369,2;269,5;399,4;527,5;;391,3;
;;;;;;;;;;;;;;;;
;; Key: - zero or negligible      ..   not available;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;1; Includes all RPI components except mortgage interest payments, council tax;;;;;;;;;;;;;;
;; and depreciation.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;2; Including Fuel oil.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;3; 'Other goods' comprises DIY materials, Coal & solid fuels, household goods,;;;;;;;;;;;;;;
;; Clothing & footwear, Personal articles, Chemists goods, Purchase of motor;;;;;;;;;;;;;;
;; vehicles and leisure goods.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;4; 'Utilities' comprising Water, Eletricity, Gas, Postage, Telephone charges and Rail fares;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;5; 'Shop services' comprises Catering, Repars & maintenance charges,Domestic;;;;;;;;;;;;;;
;;  services, Personal services, Maintenance of motor vehicles, TV licence &;;;;;;;;;;;;;;
;;  rentals and Entertainment & recreation charges.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;6; 'Non-shop services' comprises Dwelling insurance & ground rent, Fees and;;;;;;;;;;;;;;
;; and subscriptions, Vehicle tax and insurance, Bus & coach fares, Other;;;;;;;;;;;;;;
;; travel costs, Foreign holidays and UK holidays.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;7;The Retail Prices Index and its derivatives do not meet the required standards ;;;;;;;;;;;;;;
;;for designation as National Statistics. A full report can be found at: ;;;;;;;;;;;;;;
;;http://www.statisticsauthority.gov.uk/;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Source: ;;;;;;;;;;;;;;
;;Office for National Statistics;;;;;;;;;;;;;;
;;Prices Division;;;;;;;;;;;;;;
;;2.001 Cardiff Road;;;;;;;;;;;;;;
;;Newport;;;;;;;;;;;;;;
;;South Wales;;;;;;;;;;;;;;
;;NP10 8XG;;;;;;;;;;;;;;
;;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;;
